Timestamp,X,Y,Z
86.392,-0.19443266,-0.33327445,9.648834
86.413,-0.1944997,-0.3330124,9.649823
86.433,-0.1943647,-0.3333266,9.650613
86.453,-0.19436999,-0.3332769,9.65107
86.473,-0.19438829,-0.33324108,9.651991
86.494,-0.19418877,-0.3332318,9.65283
86.514,-0.19381775,-0.3330943,9.653805
86.534,-0.19302972,-0.3333427,9.654035
86.554,-0.19253895,-0.33336106,9.654819
86.575,-0.19178253,-0.33384782,9.6547785
86.595,-0.19152324,-0.3336752,9.654592
86.615,-0.1912381,-0.33351776,9.654289
86.636,-0.19115028,-0.33373073,9.655411
86.656,-0.19069494,-0.33425722,9.655286
86.677,-0.18993919,-0.3346027,9.657214
86.697,-0.18928604,-0.33493465,9.657307
86.717,-0.18885948,-0.33481637,9.657357
86.737,-0.18818319,-0.3345698,9.656976
86.758,-0.18757491,-0.33394465,9.656094
86.778,-0.18736099,-0.33338264,9.656055
86.798,-0.1869959,-0.33319217,9.655694
86.818,-0.18637393,-0.3332219,9.655456
86.839,-0.18657145,-0.3331965,9.655059
86.859,-0.18605214,-0.33296612,9.654217
86.879,-0.1862,-0.33259228,9.655271
86.9,-0.18591276,-0.3321232,9.654715
86.92,-0.18624684,-0.33234355,9.654169
86.94,-0.18601528,-0.3325859,9.653967
86.96,-0.18529285,-0.33314678,9.652489
86.981,-0.18587264,-0.33444223,9.652378
87.001,-0.18566228,-0.33602288,9.6526
87.021,-0.18571867,-0.33732393,9.652147
87.042,-0.18557844,-0.33805686,9.651498
87.062,-0.18465962,-0.3385707,9.650711
87.082,-0.18483704,-0.33854812,9.65126
87.102,-0.18405516,-0.338731,9.652199
87.123,-0.18354021,-0.33969727,9.65249
87.143,-0.18277174,-0.34036645,9.652949
87.163,-0.18190022,-0.3411035,9.652923
87.183,-0.181805,-0.34142846,9.653817
87.204,-0.18136747,-0.3410553,9.6539545
87.224,-0.18081123,-0.34004888,9.654674
87.244,-0.1802866,-0.33872032,9.655378
87.265,-0.179784,-0.33761454,9.656007
87.285,-0.17945074,-0.3372246,9.655371
87.305,-0.17916617,-0.33690125,9.6551285
87.325,-0.17872709,-0.33711684,9.655058
87.346,-0.1787418,-0.3371664,9.654994
87.366,-0.17913385,-0.33714294,9.654975
87.386,-0.17949288,-0.33690482,9.654348
87.406,-0.18018898,-0.3364105,9.653725
87.427,-0.18103048,-0.33618736,9.652953
87.447,-0.18227856,-0.3360002,9.653429
87.467,-0.18359368,-0.3370223,9.654836
87.487,-0.18461022,-0.33741802,9.655228
87.508,-0.18558982,-0.33790776,9.654629
87.528,-0.18629691,-0.3384258,9.653928
87.548,-0.18727544,-0.3383224,9.652616
87.569,-0.18781795,-0.33878785,9.651847
87.589,-0.18817562,-0.3391368,9.650689
87.609,-0.18936099,-0.33952308,9.650753
87.629,-0.18962638,-0.34040257,9.650778
87.65,-0.19017193,-0.3415961,9.6505
87.67,-0.1904618,-0.34256163,9.649957
87.69,-0.19031018,-0.34251124,9.649742
87.711,-0.19022311,-0.34256613,9.649481
87.731,-0.19041775,-0.34240228,9.649537
87.752,-0.18983895,-0.34158793,9.648345
87.772,-0.18944047,-0.3410242,9.647108
87.792,-0.18873951,-0.34068793,9.646047
87.812,-0.18848735,-0.34016427,9.644651
87.833,-0.18780616,-0.33946273,9.644193
87.853,-0.18739882,-0.33888242,9.643663
87.873,-0.18712449,-0.33857995,9.643106
87.893,-0.18690091,-0.3384504,9.642647
87.914,-0.18686184,-0.33850592,9.641548
87.934,-0.18682443,-0.33926916,9.64122
87.954,-0.18679649,-0.3398352,9.641236
87.974,-0.18650366,-0.34035638,9.641657
87.995,-0.18646595,-0.34069014,9.642215
88.015,-0.18634166,-0.3410174,9.642878
88.035,-0.18661657,-0.341192,9.6434145
88.056,-0.18632396,-0.34113082,9.643777
88.076,-0.18687128,-0.34093145,9.644327
88.096,-0.18683004,-0.34071928,9.644495
88.116,-0.18741831,-0.34021205,9.645097
88.137,-0.18795145,-0.33993807,9.645119
88.157,-0.18832934,-0.33952847,9.645385
88.177,-0.18826386,-0.33890814,9.645047
88.197,-0.18881504,-0.33824477,9.6452465
88.217,-0.18888827,-0.33789632,9.644685
88.238,-0.1888236,-0.33729535,9.644777
88.258,-0.18883803,-0.33727777,9.644862
88.278,-0.18875009,-0.33734038,9.645487
88.298,-0.18829899,-0.33731973,9.646181
88.319,-0.18819246,-0.33785373,9.645848
88.339,-0.18850057,-0.33804327,9.646281
88.359,-0.18781255,-0.338279,9.645326
88.379,-0.1875311,-0.33797407,9.64494
88.4,-0.18718353,-0.3383656,9.643718
