,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
2769,1595636718.1501071,0.1105316572189331,Acceleration,0.0482025146484375,0.0060272216796875,-1.006484985351562,2.295517921446777e-05,-0.0724602254231771,-1.721577727923912e-06,-0.010366500447923747,-2.3794511604631195e-07,0.0008731257074637371
2770,1595636718.189945,0.11057149505615234,Acceleration,0.0465850830078125,0.0078277587890625,-1.005935668945312,3.983783721923928e-05,-0.06911061604817709,-2.819938068763269e-06,-0.01036932038599251,-4.130351274944332e-07,0.0008727126723362427
2771,1595636718.2450721,0.11062662220001221,Acceleration,0.045867919921875,0.0081329345703125,-1.006988525390625,5.51271438598705e-05,-0.06519276936848958,-3.7018810243661087e-06,-0.010373022267016876,-5.717330537115882e-07,0.0008721409392825311
2772,1595636718.2698429,0.11065139293670655,Acceleration,0.04638671875,0.0076141357421875,-1.005157470703125,2.4770736694337825e-05,-0.061025695800781266,-1.563262183335729e-06,-0.010374585529200212,-2.5696676487874207e-07,0.0008718839725176523
2773,1595636718.3096962,0.11069124627113343,Acceleration,0.0465240478515625,0.007720947265625,-1.003097534179688,3.985333442688144e-05,-0.05848358154296875,-2.3814215985476974e-06,-0.010376966950798759,-4.1350928043118994e-07,0.0008714704632372211
2774,1595636718.3655882,0.11074713826179504,Acceleration,0.0461883544921875,0.006317138671875,-1.003326416015625,5.589199066161066e-05,-0.05682871500651042,-3.222516900956184e-06,-0.010380189467699715,-5.800793963521542e-07,0.000870890383840869
2775,1595636718.389641,0.1107711911201477,Acceleration,0.0467987060546875,0.005767822265625,-1.00054931640625,2.4052858352663353e-05,-0.055333353678385426,-1.3489091753097488e-06,-0.010381538376875025,-2.4968944950105146e-07,0.0008706406943913679
2776,1595636718.429412,0.11081096196174621,Acceleration,0.04644775390625,0.0054931640625,-0.9990386962890624,3.9770841598507634e-05,-0.05465545654296876,-2.1871737744608973e-06,-0.010383725550649486,-4.129260112063909e-07,0.0008702277683801615
2777,1595636718.484368,0.11086591815948486,Acceleration,0.0474395751953125,0.0054473876953125,-0.9974822998046876,5.495619773865368e-05,-0.05468536376953125,-3.0044778710001754e-06,-0.010386730028520487,-5.707326319653937e-07,0.0008696570357481961
2778,1595636718.5093892,0.11089093923568726,Acceleration,0.0478973388671875,0.004791259765625,-0.999908447265625,2.502107620239169e-05,-0.05513397216796875,-1.37389898649412e-06,-0.01038810392750698,-2.599043517528988e-07,0.0008693971313964431
2779,1595636718.549149,0.11093069911003113,Acceleration,0.048553466796875,0.0032196044921875,-0.997772216796875,3.97598743438754e-05,-0.05431650797526042,-2.175868668685811e-06,-0.010390279796175666,-4.130729629612239e-07,0.000868984058433482
2780,1595636718.605081,0.11098663115501403,Acceleration,0.0471038818359375,0.005889892578125,-0.999755859375,5.593204498290094e-05,-0.05609100341796876,-3.0876589468481214e-06,-0.010393367455122513,-5.812359464841776e-07,0.0008684028224869978
2781,1595636718.6290061,0.1110105562210083,Acceleration,0.0479736328125,0.0077362060546875,-1.002349853515625,2.3925065994273575e-05,-0.058832499186197915,-1.3747761920488793e-06,-0.010394742231314561,-2.4867844807210237e-07,0.0008681541440389256
2782,1595636718.668793,0.11105034303665161,Acceleration,0.047454833984375,0.00927734375,-1.003707885742188,3.9786815643302886e-05,-0.061484273274739584,-2.393510622350271e-06,-0.010397135741936911,-4.136213078999032e-07,0.0008677405227310258
2783,1595636718.726076,0.1111076259613037,Acceleration,0.0461883544921875,0.00872802734375,-1.00628662109375,5.728292465209672e-05,-0.06368743896484375,-3.585100880396993e-06,-0.010400720842817308,-5.956810258347949e-07,0.0008671448417051909
2784,1595636718.748826,0.11113037610054016,Acceleration,0.046417236328125,0.0079193115234375,-1.008865356445312,2.2750139236457634e-05,-0.06492360432942709,-1.4629595711453712e-06,-0.010402183802388453,-2.3663448860059117e-07,0.0008669082072165904
2785,1595636718.788684,0.11117023396492004,Acceleration,0.046844482421875,0.010711669921875,-1.007293701171875,3.9857864379877483e-05,-0.06680775960286459,-2.625265419094783e-06,-0.010404809067807549,-4.14661149986675e-07,0.0008664935460666037
2786,1595636718.845775,0.11122732496261596,Acceleration,0.045867919921875,0.0108184814453125,-1.010040283203125,5.709099769592163e-05,-0.06856231689453125,-3.864206362704781e-06,-0.010408673274170253,-5.941312362149801e-07,0.0008658994148303887
2787,1595636718.868492,0.11125004196166992,Acceleration,0.0449066162109375,0.009521484375,-1.008407592773438,2.2716999053956632e-05,-0.06980845133463542,-1.5716843054786158e-06,-0.010410244958475732,-2.3647167289770966e-07,0.000865662943157491
2788,1595636718.908374,0.11128992414474487,Acceleration,0.0451507568359375,0.0096282958984375,-1.006271362304688,3.988218307494906e-05,-0.0710545857747396,-2.808962717244719e-06,-0.010413053921192976,-4.152393090716646e-07,0.0008652477038484194
2789,1595636718.963414,0.11134496402740479,Acceleration,0.046112060546875,0.0086517333984375,-1.003753662109375,5.50398826599241e-05,-0.07257985432942708,-3.952811364628615e-06,-0.010417006732557604,-5.732420470907669e-07,0.0008646744618013287
2790,1595636718.988335,0.11136988496780395,Acceleration,0.0464324951171875,0.0060272216796875,-1.002151489257812,2.492094039915904e-05,-0.07274932861328125,-1.8108699531868576e-06,-0.010418817602510792,-2.5962416821079354e-07,0.0008644148376331179
2791,1595636719.0282161,0.1114097661972046,Acceleration,0.046966552734375,0.0036468505859375,-1.00152587890625,3.988122940064287e-05,-0.07154307047526041,-2.877279134409621e-06,-0.010421694881645202,-4.1557262960379337e-07,0.0008639992650035141
2792,1595636719.086255,0.11146780514717101,Acceleration,0.0484161376953125,0.0052947998046875,-0.998443603515625,5.803894996642134e-05,-0.07144337972005209,-4.14939171438097e-06,-0.010425844273359583,-6.049846409701662e-07,0.0008633942803625439
2793,1595636719.1081529,0.11148970293998718,Acceleration,0.048675537109375,0.004119873046875,-0.998138427734375,2.1897792816166772e-05,-0.07100474039713542,-1.5596497106893048e-06,-0.010427403923070273,-2.283200542747622e-07,0.0008631659603082692
2794,1595636719.147934,0.11152948403358459,Acceleration,0.0496673583984375,0.0007476806640625,-0.997344970703125,3.978109359741022e-05,-0.06938975016276042,-2.792523184761971e-06,-0.010430196446255036,-4.148690762547541e-07,0.0008627510912320144
2795,1595636719.2069051,0.11158845520019531,Acceleration,0.0494384765625,0.001922607421875,-0.9991455078125,5.897116661071622e-05,-0.06679779052734375,-4.015569076169913e-06,-0.010434212015331205,-6.151992538111198e-07,0.0008621358919782033
2796,1595636719.227708,0.11160925817489624,Acceleration,0.050140380859375,0.003173828125,-1.000152587890625,2.0802974700931398e-05,-0.06381703694661459,-1.3585884757536372e-06,-0.01043557060380696,-2.1707677991993453e-07,0.0008619188151982834
2797,1595636719.2676132,0.11164916324615479,Acceleration,0.048492431640625,0.00445556640625,-1.003402709960938,3.9905071258547475e-05,-0.06066680908203125,-2.4837683731555824e-06,-0.010438054372180115,-4.164817460454803e-07,0.0008615023334522379
2798,1595636719.32289,0.11170444011688233,Acceleration,0.0474700927734375,0.0051116943359375,-1.003860473632812,5.527687072753862e-05,-0.05830413818359375,-3.2881708361673837e-06,-0.010441342543016282,-5.7707386207514e-07,0.0008609252595901627
2799,1595636719.347524,0.11172907400131225,Acceleration,0.046966552734375,0.007080078125,-1.005233764648438,2.46338844299282e-05,-0.05775583902994792,-1.4295040328092428e-06,-0.010442772047049092,-2.5722843261652385e-07,0.0008606680311575462
2800,1595636719.387369,0.11176891899108887,Acceleration,0.0463104248046875,0.008270263671875,-1.00555419921875,3.984498977661899e-05,-0.05616078694661458,-2.2695033987115313e-06,-0.010445041550447802,-4.161373596240934e-07,0.0008602518937979222
2801,1595636719.445981,0.11182753109931946,Acceleration,0.0452423095703125,0.0081787109375,-1.0062255859375,5.861210823059071e-05,-0.05443613688151042,-3.2411594346922296e-06,-0.010448282709882495,-6.12300891421653e-07,0.0008596395929065005
2802,1595636719.4672759,0.11184882593154907,Acceleration,0.045135498046875,0.0088653564453125,-1.004470825195312,2.1294832229609706e-05,-0.05400746663411459,-1.154644171619774e-06,-0.010449437354054115,-2.2250672137143934e-07,0.000859417086185129
2803,1595636719.507131,0.11188868117332458,Acceleration,0.04498291015625,0.0106658935546875,-1.004959106445312,3.98552417755077e-05,-0.05468536376953126,-2.16598951750078e-06,-0.010451603343571616,-4.165080151817998e-07,0.0008590005781699472
