,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,Average Y,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
920,1591401263.61,37.58999991416931,Acceleration,0.1472473145,0.04014587402,-1.006210327,1591402927.72184,37.5866801738739,Acceleration,0.087432861328125,0.087738037109375,-0.989532470703125,-0.6272705840895844,0.03278017044067383,-0.30235152992812925,-0.009972469956267107,12.663900055102774,0.4148924275869325,348.63558036340675
921,1591401263.65,37.63000011444092,Acceleration,0.150100708,0.04711914063,-1.016860962,1591402927.76164,37.62648010253906,Acceleration,0.089828491210938,0.089126586914063,-0.98095703125,-0.6682852936036291,0.03979992866516113,-0.30609374794591176,-0.012193630187226837,12.64972229703311,0.5032595932595786,349.2311936735262
922,1591401263.69,37.67000007629395,Acceleration,0.1480102539,0.04023742676000001,-0.9779205322,1591402927.81154,37.6763801574707,Acceleration,0.081207275390625,0.080841064453125,-0.9859771728515621,-0.5938899994003781,0.049900054931640625,-0.30665258583837623,-0.015339079272642185,12.639749827076843,0.6304199792852502,349.64608610111316
923,1591401263.73,37.71000003814697,Acceleration,0.1471557617,0.04437255859,-0.9879150391,1591402927.84193,37.70677018165588,Acceleration,0.090499877929688,0.079086303710938,-0.992523193359375,-0.605565719586101,0.03039002418517356,-0.308139493795828,-0.009368991530061765,12.627556196889616,0.3835186607280767,350.14934569437276
924,1591401263.77,37.75,Acceleration,0.152633667,0.04307556152,-0.9713897705,1591402927.8814,37.74624013900757,Acceleration,0.091339111328125,0.080230712890625,-0.9877166748046871,-0.6048172759841156,0.039469957351691676,-0.3084438608586006,-0.01220971527799301,12.612217117616973,0.4976187748945577,350.779765673658
925,1591401263.81,37.78999996185303,Acceleration,0.1586151123,0.04585266113,-0.96484375,1591402927.92821,37.79305005073547,Acceleration,0.094970703125,0.085693359375,-0.9903717041015621,-0.6452332305770251,0.04680991172789817,-0.31024012550601626,-0.014554194356300865,12.602848126086911,0.5896524404550424,351.1632843343861
926,1591401263.85,37.82999992370605,Acceleration,0.1570587158,0.04132080078,-0.9300537109,1591402927.96133,37.82617020606995,Acceleration,0.09356689453125,0.087966918945313,-1.01116943359375,-0.6341562652526603,0.03312015533448687,-0.3116022928648235,-0.010342543425312958,12.590638410808918,0.41676288133742373,351.66090310928064
927,1591401263.89,37.87000012397766,Acceleration,0.1591796875,0.0475769043,-0.9483947754000001,1591402928.00118,37.86602020263672,Acceleration,0.0933837890625,0.081085205078125,-1.00146484375,-0.6310876464997032,0.039849996566765356,-0.31294450172968297,-0.01248763900375668,12.576084216452617,0.5009508376889936,352.2505555497357
928,1591401263.93,37.91000008583069,Acceleration,0.1522216797,0.0440826416,-0.9406585693,1591402928.04745,37.91229009628296,Acceleration,0.095367431640625,0.0811767578125,-1.00144958496093,-0.6143973541183125,0.046269893646240234,-0.3137877481883154,-0.014464094260129014,12.565741673027304,0.581126629932804,352.6673184310731
929,1591401263.97,37.95000004768372,Acceleration,0.1501464844,0.03540039063,-0.9467315674,1591402928.08116,37.94600009918213,Acceleration,0.095123291015625,0.082061767578125,-1.01336669921875,-0.5761518860108532,0.03371000289916992,-0.3114176767783066,-0.010397138843069205,12.553254034023547,0.4229264375512289,353.1682692687621
930,1591401264.01,37.99000000953674,Acceleration,0.1433410645,0.03721618652,-0.9590454102,1591402928.12095,37.98579001426697,Acceleration,0.09991455078125,0.083587646484375,-1.00625610351562,-0.5925428008864594,0.03978991508483887,-0.30544010719567366,-0.012159987640486992,12.538789939763419,0.49871053633397283,353.7493958986949
931,1591401264.05,38.02999997138977,Acceleration,0.1314086914,0.03988647461,-0.9734039307,1591402928.16879,38.03363013267517,Acceleration,0.100265502929687,0.085067749023438,-0.9964599609375,-0.6129004669220134,0.047840118408203125,-0.3057694223828555,-0.014641412807842705,12.528392800920349,0.5990689274362275,354.1723223362461
932,1591401264.09,38.0699999332428,Acceleration,0.1266479492,0.0376739502,-0.9886474609,1591402928.20086,38.0657000541687,Acceleration,0.096847534179688,0.081390380859375,-1.00802612304687,-0.5840105438462344,0.03206992149353027,-0.3063282602738893,-0.009844885465694885,12.516232813279862,0.40115982923698174,354.6710328725801
933,1591401264.13,38.1100001335144,Acceleration,0.1223449707,0.04318237305,-1.00038147,1591402928.24074,38.10558009147644,Acceleration,0.09857177734375,0.077468872070313,-0.99237060546875,-0.5917943573151353,0.03988003730773926,-0.30763554176915425,-0.01234930535816805,12.50159140047202,0.49836762425710524,355.27010180001633
934,1591401264.18,38.16000008583069,Acceleration,0.125,0.0460357666,-1.003845215,1591402928.28945,38.15428996086121,Acceleration,0.093231201171875,0.080825805664063,-0.99346923828125,-0.6222560119552291,0.04870986938477273,-0.3116871164757768,-0.015132414725879612,12.491746515006325,0.6081705746081535,355.6712616292533
935,1591401264.21,38.19000005722046,Acceleration,0.126449585,0.04501342773,-0.9953765869,1591402928.32049,38.1853301525116,Acceleration,0.097427368164063,0.076614379882813,-0.9889373779296871,-0.5965843963408478,0.03104019165038352,-0.309641370625861,-0.009589489564155437,12.479397209648157,0.3871280245421279,356.16962925351044
936,1591401264.25,38.23000001907349,Acceleration,0.1527862549,0.04927062988,-1.000442505,1591402928.36043,38.22527003288269,Acceleration,0.088211059570313,0.082672119140625,-0.9895782470703121,-0.6471791839461657,0.03993988037109375,-0.3082342966486968,-0.01237381499015398,12.464264794922277,0.49762974328982507,356.7777998281186
937,1591401264.29,38.26999998092651,Acceleration,0.1666412354,0.04733276366999999,-0.9742736815999999,1591402928.41162,38.27645993232727,Acceleration,0.093963623046875,0.083389282226563,-0.9918670654296871,-0.6411916351226415,0.05118989944458008,-0.31138773903018097,-0.015938246829949786,12.454675305358123,0.637236869323631,357.1649278526607
938,1591401264.33,38.30999994277954,Acceleration,0.1811065674,0.04243469238,-0.9630279541,1591402928.44026,38.30509996414185,Acceleration,0.090301513671875,0.080825805664063,-0.988922119140625,-0.6045927429061291,0.0286400318145823,-0.31132287391818286,-0.008913581856810947,12.442301490367969,0.35611967458262417,357.66255759595055
939,1591401264.37,38.34999990463257,Acceleration,0.1816558838,0.04344177246,-0.9506072998,1591402928.48025,38.34508991241455,Acceleration,0.086029052734375,0.07928466796875,-0.9929046630859371,-0.6019731903030188,0.03998994827269797,-0.3111332682061095,-0.012395911226379862,12.426363243538018,0.49675139648815153,358.2997944652742
940,1591401264.42,38.40000009536743,Acceleration,0.1845397949,0.04609680176,-0.9506835938,1591402928.52739,38.39223003387451,Acceleration,0.087677001953125,0.078369140625,-0.9984130859375,-0.610505447398425,0.04714012145996094,-0.3088180826608696,-0.014540904304676215,12.417449661681207,0.5850679128941938,358.6559141398568
941,1591401264.45,38.4300000667572,Acceleration,0.1811218262,0.04541015625,-0.9425354004000001,1591402928.56007,38.42491006851196,Acceleration,0.090789794921875,0.081695556640625,-1.00508117675781,-0.6234535217285156,0.03268003463745117,-0.3081045664259266,-0.010081831259071278,12.405053750454828,0.405159987616139,359.15266553634495
942,1591401264.49,38.47000002861023,Acceleration,0.1805114746,0.04753112793000001,-0.9459228516,1591402928.59992,38.46476006507874,Acceleration,0.0916748046875,0.08355712890625,-0.995697021484375,-0.6429878997818063,0.039849996566779566,-0.3088979166447336,-0.012357997605573476,12.390512846150152,0.4935610139091912,359.73773344923916
943,1591401264.53,38.50999999046326,Acceleration,0.1760253906,0.05058288574,-0.9559631348000001,1591402928.64918,38.51402020454407,Acceleration,0.091232299804688,0.082107543945313,-1.01220703125,-0.6508465576064603,0.049260139465324926,-0.3113278635439433,-0.015458334291244678,12.38043101489108,0.6095573800915874,360.1428934368553
944,1591401264.57,38.54999995231628,Acceleration,0.1712493896,0.05462646484,-0.9704437256,1591402928.68017,38.54500985145569,Acceleration,0.089187622070313,0.078018188476563,-1.00410461425781,-0.6506220245177415,0.030989646911621094,-0.31629253944440266,-0.009763446699874256,12.368073017285507,0.3830426916220622,360.63645445076446
945,1591401264.61,38.58999991416931,Acceleration,0.1762084961,0.03450012207,-0.948928833,1591402928.71963,38.58447003364563,Acceleration,0.089828491210938,0.0787353515625,-0.995819091796875,-0.5554199981674125,0.039460182189941406,-0.31381768592979936,-0.012469443080675857,12.352614682994263,0.4872437922203095,361.24601183085605
