loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure
1595636609.308329,44,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.451062375,0.04193115234375,0.0065155029296875,-1.0047607421875,294382.604164,0,11.98292,100.6764
1595636609.348241,45,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.490977375,0.0408782958984375,0.00738525390625,-1.007034301757812,294382.604164,0,11.98292,100.6764
1595636609.40874,46,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.530893375,0.0408782958984375,0.0081329345703125,-1.009307861328125,294382.604164,0,11.98292,100.6764
1595636609.428167,47,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.570809375,0.0401763916015625,0.009246826171875,-1.007827758789062,294382.604164,0,11.98292,100.6764
1595636609.46825,48,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.610724375,0.0397491455078125,0.009002685546875,-1.0081787109375,294382.604164,0,11.98292,100.6764
1595636609.525956,49,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.650640375,0.039154052734375,0.0088043212890625,-1.006515502929688,294382.604164,0,11.98292,100.6764
1595636609.54795,50,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.690555375,0.0394439697265625,0.0092010498046875,-1.005523681640625,294382.604164,0,11.98292,100.6764
1595636609.58763,51,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.730471375,0.0382080078125,0.0085906982421875,-1.001724243164062,294382.604164,0,11.98292,100.6764
1595636609.645239,52,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.770387375,0.037384033203125,0.008697509765625,-0.999176025390625,294382.604164,0,11.98292,100.6764
1595636609.667633,53,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.810302375,0.0369720458984375,0.0063934326171875,-0.9999237060546875,294382.604164,0,11.98292,100.6764
1595636609.70742,54,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.850218375,0.036102294921875,0.006134033203125,-0.9979095458984375,294382.604164,0,11.98292,100.6764
1595636609.765484,55,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.890133375,0.037689208984375,0.0055694580078125,-0.9998016357421875,294382.604164,0,11.98292,100.6764
1595636609.78736,56,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.930049375,0.039459228515625,0.0043182373046875,-1.001495361328125,294382.604164,0,11.98292,100.6764
1595636609.827239,57,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.969965375,0.0392913818359375,0.004364013671875,-1.000747680664062,294382.604164,0,11.98292,100.6764
