loggingTime,loggingTimeElapsed,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,,,
1591401256.91,30.89,775,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-65.38378906,31.24777222,12.44924927,336.0774231,335.9349976,13.44864559,208611.6787,0.118347168,0.03526306152,-0.9861602783,208611.6413,-0.00211055507,-0.01196451765,-0.02162806317,208609.0493,0,2.779721,101.2523,,,
1591401256.94,30.92,776,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-64.86181641,31.55709839,11.47479248,336.0629578,335.9205322,13.44867039,208611.7186,0.133972168,0.02294921875,-1.003890991,208611.6812,-3.49E-05,0.005909820553,-0.02031512558,208609.0493,0,2.779721,101.2523,,,
1591401256.98,30.96,777,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-64.86181641,31.55709839,11.47479248,336.0629578,335.9205322,13.44867039,208611.7585,0.12550354,0.03356933594,-1.004150391,208611.7211,0.002040514024,0.004837632179,-0.02284725942,208609.0493,0,2.779721,101.2523,,,
1591401257.03,31.01,778,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-64.85266113,30.96615601,11.88082886,336.0449524,335.9025269,13.44869423,208611.7984,0.1485595703,0.02627563477,-0.9977111816,208611.761,-0.002647981048,0.009045160376,-0.01723810844,208609.0493,0,2.779721,101.2523,,,
1591401257.06,31.04,779,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-65.00622559,31.0602417,12.16812134,336.018158,335.8757324,13.44871807,208611.8384,0.1343383789,0.0230255127,-0.9980163574,208611.8009,-0.001155012986,0.01277598273,-0.02113591135,208609.0493,0,2.779721,101.2523,,,
1591401257.10,31.08,780,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-67.11804199,31.43933105,12.19241333,335.9894409,335.8470154,13.44874191,208611.8783,0.1477508545,0.03106689453,-0.9885559082,208611.8409,-0.002806172706,0.01024571341,-0.01711373962,208609.0493,0,2.779721,101.2523,,,
1591401257.15,31.13,781,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,1.840576172,6.937683105,-4.894378662,335.9665833,335.8241577,12.79293633,208611.9182,0.1460876465,0.0339050293,-0.9710083008,208611.8808,-0.002426406136,0.0132228611,-0.01569321007,208609.0493,0,2.779721,101.2523,,,
1591401257.18,31.16,782,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,1.840576172,6.937683105,-4.894378662,335.9665833,335.8241577,12.79293633,208611.9581,0.1582794189,0.03378295898,-0.9754638672,208611.9207,-0.005778526887,0.01749297418,-0.01391714718,208609.0493,0,2.779721,101.2523,,,
1591401257.22,31.20,783,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-1.24621582,6.717712402,-5.605072021,335.9343567,335.7919312,12.00192833,208611.998,0.1552124023,0.03778076172,-0.9834442139,208611.9606,-0.002899649786,0.02039075829,-0.01341141295,208609.0493,0,2.779721,101.2523,,,
1591401257.27,31.25,784,1591401254,1.301956973,103.8363464,17.39661,12.20711708,8000,1591401257,-3.6796875,7.805145264,-5.887359619,337.9893188,337.8468933,12.0013237,208612.038,0.1582946777,0.03977966309,-0.9739685059,208612.0005,-0.002351837466,0.01220872905,-0.01661572792,208609.0493,0,2.779721,101.2523,,,
